locality,orgname,created_at,updated_at
KWASHIEBU,weija,2025-08-01 04:46:29.904210,2025-08-01 04:46:29.904212
KWASHIEMAN,weija,2025-08-01 04:46:29.904214,2025-08-01 04:46:29.904216
KWASHIMAN,weija,2025-08-01 04:46:29.904218,2025-08-01 04:46:29.904220
LAPAZ,weija,2025-08-01 04:46:29.904222,2025-08-01 04:46:29.904224
LIBERIA,weija,2025-08-01 04:46:29.904226,2025-08-01 04:46:29.904228
MACCARTHY,weija,2025-08-01 04:46:29.904231,2025-08-01 04:46:29.904233
MALAM,weija,2025-08-01 04:46:29.904235,2025-08-01 04:46:29.904237
MALLA,weija,2025-08-01 04:46:29.904239,2025-08-01 04:46:29.904244
MALLAM,weija,2025-08-01 04:46:29.904246,2025-08-01 04:46:29.904248
MATAHEKO,weija,2025-08-01 04:46:29.904251,2025-08-01 04:46:29.904253
MCARTHY,weija,2025-08-01 04:46:29.904255,2025-08-01 04:46:29.904257
MCCARTHY,weija,2025-08-01 04:46:29.904259,2025-08-01 04:46:29.904261
MCCATHY,weija,2025-08-01 04:46:29.904263,2025-08-01 04:46:29.904265
MCCHARTHY,weija,2025-08-01 04:46:29.904267,2025-08-01 04:46:29.904269
MENSKROM,weija,2025-08-01 04:46:29.904272,2025-08-01 04:46:29.904274
NIC,weija,2025-08-01 04:46:29.904276,2025-08-01 04:46:29.904278
ODOKOR,weija,2025-08-01 04:46:29.904280,2025-08-01 04:46:29.904282
ODORKO,weija,2025-08-01 04:46:29.904285,2025-08-01 04:46:29.904287
ODORKOR,weija,2025-08-01 04:46:29.904291,2025-08-01 04:46:29.904294
OFANKOR,weija,2025-08-01 04:46:29.904296,2025-08-01 04:46:29.904298
OLEBU,weija,2025-08-01 04:46:29.904300,2025-08-01 04:46:29.904302
OMANJOR,weija,2025-08-01 04:46:29.904304,2025-08-01 04:46:29.904307
PALACE,weija,2025-08-01 04:46:29.904309,2025-08-01 04:46:29.904311
PALAS,weija,2025-08-01 04:46:29.904320,2025-08-01 04:46:29.904323
POKUASE,weija,2025-08-01 04:46:29.904331,2025-08-01 04:46:29.904338
SAKAMAN,weija,2025-08-01 04:46:29.904345,2025-08-01 04:46:29.904353
SAMPA,weija,2025-08-01 04:46:29.904355,2025-08-01 04:46:29.904357
SOWUTOUM,weija,2025-08-01 04:46:29.904360,2025-08-01 04:46:29.904362
SOWUTUM,weija,2025-08-01 04:46:29.904364,2025-08-01 04:46:29.904369
SOWUTUOM,weija,2025-08-01 04:46:29.904371,2025-08-01 04:46:29.904373
TABOLA,weija,2025-08-01 04:46:29.904376,2025-08-01 04:46:29.904378
TABORA,weija,2025-08-01 04:46:29.904380,2025-08-01 04:46:29.904382
TATOP,weija,2025-08-01 04:46:29.904384,2025-08-01 04:46:29.904386
TEMA,weija,2025-08-01 04:46:29.904388,2025-08-01 04:46:29.904390
TESHIE,weija,2025-08-01 04:46:29.904392,2025-08-01 04:46:29.904394
TETEGU,weija,2025-08-01 04:46:29.904397,2025-08-01 04:46:29.904399
TUBA,weija,2025-08-01 04:46:29.904401,2025-08-01 04:46:29.904403
WEIJA,weija,2025-08-01 04:46:29.904405,2025-08-01 04:46:29.904407
